date,price
2009년10월02일,1418.97
2009년10월03일,1418.22
2009년10월04일,1417.69
2009년10월05일,1415.1
2009년10월06일,1411.16
2009년10월07일,1407.67
2009년10월08일,1404.54
2009년10월09일,1402.07
2009년10월10일,1400.18
2009년10월11일,1399.12
2009년10월12일,1396.59
2009년10월13일,1394.79
2009년10월14일,1391.85
2009년10월15일,1390.95
2009년10월16일,1391.59
2009년10월17일,1391.4
2009년10월18일,1391.21
2009년10월19일,1390.96
2009년10월20일,1395.98
2009년10월21일,1398.23
2009년10월22일,1399.95
2009년10월23일,1405.37
2009년10월24일,1411.57
2009년10월25일,1415.07
2009년10월26일,1418.8
2009년10월27일,1429.3
2009년10월28일,1434.65
2009년10월29일,1437.02
2009년10월30일,1439.57
2009년10월31일,1441.05
2009년11월01일,1442.62
2009년11월02일,1442.89
2009년11월03일,1445.88
2009년11월04일,1446.81
2009년11월05일,1447.82
2009년11월06일,1449.03
2009년11월07일,1450.61
2009년11월08일,1451.46
2009년11월09일,1451.63
2009년11월10일,1453.32
2009년11월11일,1454.36
2009년11월12일,1454.35
2009년11월13일,1455.3
2009년11월14일,1455.8
2009년11월15일,1456.12
2009년11월16일,1455.88
2009년11월17일,1454.45
2009년11월18일,1454.69
2009년11월19일,1453.7
2009년11월20일,1454.22
2009년11월21일,1454.09
2009년11월22일,1454.15
2009년11월23일,1453.82
2009년11월24일,1452.9
2009년11월25일,1453.17
2009년11월26일,1452
2009년11월27일,1451.99
2009년11월28일,1451.79
2009년11월29일,1451.78
2009년11월30일,1450.99
2009년12월01일,1449.01
2009년12월02일,1448.29
2009년12월03일,1446.89
2009년12월04일,1447.37
2009년12월05일,1447.3
2009년12월06일,1447.11
2009년12월07일,1446.93
2009년12월08일,1447.1
2009년12월09일,1447.77
2009년12월10일,1447.19
2009년12월11일,1447.33
2009년12월12일,1446.95
2009년12월13일,1446.8
2009년12월14일,1446.07
2009년12월15일,1443.13
2009년12월16일,1442.32
2009년12월17일,1440.63
2009년12월18일,1440.29
2009년12월19일,1442.68
2009년12월20일,1442.24
2009년12월21일,1437.93
2009년12월22일,1434.63
2009년12월23일,1433.42
2009년12월24일,1431.95
2009년12월25일,1431.69
2009년12월26일,1431.35
2009년12월27일,1431.37
2009년12월28일,1430.6
2009년12월29일,1431.98
2009년12월30일,1432.64
2009년12월31일,1432.56
2010년01월01일,1433.24
2010년01월02일,1433.12
2010년01월03일,1433.11
2010년01월04일,1432.97
2010년01월05일,1435.79
2010년01월06일,1438.2
2010년01월07일,1440.07
2010년01월08일,1442.09
2010년01월09일,1444.78
2010년01월10일,1446.25
2010년01월11일,1447.84
2010년01월12일,1450.87
2010년01월13일,1454.62
2010년01월14일,1456.13
2010년01월15일,1457.96
2010년01월16일,1459.24
2010년01월17일,1459.87
2010년01월18일,1460.04
2010년01월19일,1458.39
2010년01월20일,1458.41
2010년01월21일,1457.59
2010년01월22일,1457.69
2010년01월23일,1457.49
2010년01월24일,1457.56
2010년01월25일,1456.85
